iter	Passed	Remaining
0	2	219
1	4	212
2	6	198
3	7	181
4	9	179
5	11	175
6	12	172
7	14	170
8	16	167
9	18	168
10	20	167
11	22	166
12	24	164
13	26	161
14	28	160
15	30	157
16	31	155
17	33	153
18	35	151
19	37	149
20	39	146
21	40	144
22	42	142
23	44	140
24	46	139
25	48	137
26	50	135
27	51	133
28	53	131
29	55	129
30	57	127
31	59	125
32	60	123
33	62	122
34	64	120
35	66	118
36	68	116
37	70	114
38	71	112
39	73	110
40	75	108
41	76	105
42	78	104
43	80	102
44	82	101
45	84	99
46	86	97
47	88	96
48	90	94
49	92	92
50	94	90
51	96	88
52	97	86
53	99	84
54	100	82
55	102	80
56	104	78
57	106	76
58	108	75
59	109	73
60	111	71
61	113	69
62	115	67
63	117	65
64	118	64
65	120	62
66	122	60
67	124	58
68	126	56
69	128	54
70	129	53
71	131	51
72	133	49
73	135	47
74	137	45
75	139	43
76	140	42
77	142	40
78	144	38
79	146	36
80	148	34
81	150	32
82	151	31
83	153	29
84	155	27
85	157	25
86	159	23
87	161	21
88	162	20
89	164	18
90	166	16
91	168	14
92	170	12
93	171	10
94	173	9
95	175	7
96	177	5
97	179	3
98	181	1
99	182	0
