iter	Passed	Remaining
0	186	186160
1	197	98396
2	210	69849
3	220	54873
4	234	46588
5	245	40675
6	256	36391
7	265	32918
8	275	30338
9	284	28179
10	297	26761
11	305	25145
12	316	24039
13	328	23120
14	338	22235
15	347	21398
16	360	20857
17	368	20124
18	377	19466
19	383	18799
20	392	18295
21	401	17851
22	410	17445
23	418	17019
24	425	16598
25	432	16215
26	440	15881
27	450	15635
28	463	15515
29	474	15328
30	485	15160
31	492	14910
32	502	14731
33	514	14621
34	523	14423
35	531	14234
36	540	14077
37	549	13903
38	559	13782
39	568	13648
40	576	13478
41	584	13333
42	591	13155
43	599	13016
44	607	12886
45	615	12763
46	622	12622
47	630	12501
48	638	12387
49	645	12269
50	653	12155
51	662	12075
52	670	11973
53	683	11970
54	690	11870
55	699	11784
56	707	11704
57	715	11616
58	723	11535
59	734	11507
60	745	11468
61	754	11410
62	762	11346
63	774	11330
64	792	11399
65	802	11349
66	810	11282
67	818	11219
68	826	11155
69	836	11112
70	848	11098
71	859	11082
72	871	11062
73	880	11017
74	891	10997
75	903	10982
76	911	10932
77	922	10901
78	932	10875
79	946	10886
80	960	10894
81	969	10856
82	975	10777
83	986	10762
84	999	10763
85	1008	10713
86	1016	10666
87	1029	10666
88	1040	10648
89	1055	10670
90	1067	10659
91	1079	10654
92	1092	10650
93	1108	10687
94	1133	10795
95	1161	10935
96	1171	10905
97	1216	11193
98	1225	11153
99	1234	11112
100	1244	11073
101	1253	11033
102	1263	11005
103	1280	11028
104	1304	11118
105	1313	11079
106	1333	11128
107	1342	11090
108	1351	11049
109	1361	11019
110	1370	10974
111	1378	10929
112	1387	10893
113	1395	10846
114	1403	10803
115	1418	10810
116	1425	10756
117	1435	10729
118	1444	10693
119	1451	10645
120	1459	10602
121	1469	10575
122	1479	10546
123	1488	10512
124	1498	10486
125	1506	10447
126	1512	10396
127	1523	10380
128	1531	10339
129	1540	10306
130	1549	10276
131	1556	10237
132	1564	10198
133	1572	10160
134	1580	10124
135	1588	10089
136	1597	10063
137	1608	10046
138	1617	10018
139	1624	9981
140	1631	9941
141	1637	9894
142	1645	9861
143	1653	9830
144	1664	9813
145	1672	9784
146	1685	9778
147	1695	9762
148	1706	9746
149	1714	9715
150	1722	9686
151	1730	9652
152	1737	9617
153	1744	9581
154	1750	9544
155	1758	9512
156	1764	9476
157	1771	9439
158	1778	9405
159	1785	9373
160	1790	9330
161	1797	9300
162	1804	9268
163	1811	9232
164	1819	9206
165	1826	9176
166	1834	9150
167	1842	9122
168	1848	9090
169	1855	9059
170	1863	9033
171	1870	9005
172	1877	8975
173	1883	8943
174	1892	8921
175	1899	8891
176	1905	8862
177	1912	8831
178	1919	8804
179	1930	8795
180	1939	8775
181	1950	8766
182	1963	8765
183	1973	8754
184	1981	8731
185	1989	8706
